xHead	yHead	tHead	xTail	yTail	tTail	xBody	yBody	tBody	curvature	areaBody	perimeterBody	headMajorAxisLength	headMinorAxisLength	headExcentricity	tailMajorAxisLength	tailMinorAxisLength	tailExcentricity	bodyMajorAxisLength	bodyMinorAxisLength	bodyExcentricity	imageNumber	id
1901.64	1353.28	3.22256	1943.13	1355.93	2.89876	1920.48	1354.49	3.05612	0.000402606	882.5	244.752	19.7506	9.50321	0.876633	30.5809	5.55246	0.983379	48.3304	8.83522	0.983148	4	6
1795.75	1374.14	1.65571	1801.38	1404.25	1.84248	1798.62	1389.48	1.76158	0.000265926	1236.5	172.61	17.1439	12.5316	0.682416	20.6744	11.0277	0.845862	36.0179	11.8362	0.944462	4	7
2557.72	1151.96	4.91017	2552.7	1117.95	4.80409	2555.35	1135.9	4.85682	0.000523559	1461.5	190.125	20.3565	13.2417	0.759513	22.5702	11.3003	0.865637	40.4463	12.3721	0.952067	4	8
539.34	1112.01	4.25957	553.877	1078.42	4.54829	545.618	1097.51	4.33212	0.00186434	657	252.936	20.8681	7.72446	0.928969	25.0077	6.83471	0.961928	42.6555	8.18823	0.981402	4	9
2274.61	1093.29	2.54071	2296.82	1107.04	2.70616	2285.68	1100.15	2.60016	4.8053e-05	759.5	229.522	13.8966	10.8316	0.626472	17.7028	10.2928	0.813601	30.5414	10.6096	0.937723	4	10
450.103	975.563	3.89343	462.145	953.198	4.4897	455.587	965.392	4.22082	0.00178813	440	188.167	14.311	8.09548	0.824623	15.8738	6.36186	0.916176	29.16	8.24955	0.959148	4	11
1138.41	862.426	3.98578	1165.16	835.927	3.87274	1151.7	849.275	3.91902	5.284e-05	1807.5	208.35	21.0653	14.9014	0.706822	26.4269	12.6733	0.877509	44.5583	13.8557	0.950424	4	12
1855.99	925.138	0.586548	1819.85	951.359	0.705414	1838.74	937.652	0.631429	5.48029e-05	2404	240.25	27.0248	15.9566	0.807079	27.2303	14.7709	0.840093	52.1767	15.4432	0.955194	4	13
2244.24	599.499	0.099857	2215.14	605.878	0.317126	2230.54	602.5	0.22022	0.000172293	1225.5	164.468	17.2714	13.0572	0.654566	19.4651	10.7899	0.832302	34.8987	12.1037	0.937931	4	14
2563.25	569.812	0.3493	2541.33	571.604	6.13704	2553.19	570.636	0.0818451	4.6176e-05	801.5	125.841	13.4597	11.36	0.536336	13.0635	10.0375	0.640016	25.5494	10.909	0.904261	4	15
1285.35	355.818	5.74828	1260.26	342.562	5.87103	1273.67	349.653	5.80006	5.95754e-05	1052	154.853	17.1989	11.4643	0.74544	17.5528	10.0691	0.819101	33.1795	10.8428	0.945096	4	16
1396.75	331.004	1.52264	1395.32	363.578	1.44706	1396.03	347.502	1.5162	0.000409841	1193.5	179.296	18.7813	11.1428	0.804988	21.2358	10.3347	0.87359	38.2595	10.7541	0.959683	4	17
580.541	1852.94	4.8562	565.964	1819.81	5.20864	574.303	1838.76	5.10878	0.000166476	213	205.137	18.3926	5.1388	0.960176	21.8258	2.83381	0.991535	40.8024	5.60124	0.990533	4	18
2326.01	2096.46	2.48619	2346.65	2106.23	2.94349	2336.89	2101.61	2.7126	4.24139e-05	893	169.137	13.7647	11.2924	0.571811	16.3326	12.3393	0.655147	27.2871	12.0221	0.897714	5	0
2329.31	1800.95	3.72542	2356.68	1786.02	3.56521	2342.89	1793.54	3.63522	4.52269e-05	1331.5	171.581	17.3376	13.3886	0.63535	21.0402	11.3292	0.842655	36.6279	12.4365	0.940593	5	1
1735.22	1786.95	2.2034	1756.15	1815.79	2.15451	1745.72	1801.41	2.19405	0.000102634	1396	183.622	20.3531	11.8491	0.813063	22.332	11.017	0.869844	41.5513	11.4217	0.961478	5	2
1981.67	1764.55	2.32939	2007.02	1786.18	2.45578	1993.94	1775.03	2.43091	0.000226492	1234.5	176.208	18.5793	11.9865	0.764055	23.2848	9.56354	0.911761	39.3595	10.9051	0.960851	5	3
1962.32	1355.88	6.13624	1921.03	1354.64	0.09836	1942.81	1355.3	6.25827	4.1429e-05	1569.5	226.125	23.9966	12.1228	0.863008	26.9338	10.2718	0.924421	48.3622	11.598	0.970818	5	5
1803.72	1411.43	1.71191	1809.42	1441.91	1.8164	1806.58	1426.72	1.75964	0.000183383	1271.5	169.296	17.8722	12.4146	0.719367	19.9157	11.4274	0.819005	36.311	11.927	0.944515	5	7
2553.48	1119.74	4.92968	2548.78	1083.72	4.74656	2551.31	1103.1	4.83991	0.00116776	1569.5	193.296	21.5734	13.5295	0.778907	22.7202	11.4233	0.864414	42.3937	12.6858	0.954179	5	8
543.287	1101.54	4.29822	557.568	1069.77	4.48032	549.565	1087.57	4.3247	0.000603165	668	235.966	19.1305	8.63775	0.892262	27.0645	7.11346	0.964841	41.3909	8.49178	0.978728	5	9
2298.17	1111.06	2.59074	2318.36	1124.97	2.49882	2308.32	1118.05	2.53655	5.29951e-05	951.5	139.439	14.2479	11.7148	0.569178	16.2213	10.7444	0.749181	28.8663	11.2151	0.92144	5	10
460.217	955.193	3.83142	475.667	931.488	4.4107	467.041	944.717	4.13769	0.00225865	473.5	205.037	15.4446	7.0325	0.890319	17.8579	5.83554	0.945102	32.3078	7.78675	0.970521	5	11
1159.74	839.866	4.00521	1185.19	812.273	3.89333	1171.54	827.071	3.96188	7.9375e-05	1794	215.764	22.2758	14.8847	0.743983	24.5209	12.5232	0.859749	44.0823	13.8716	0.949199	5	12
1829.39	945.447	0.521541	1791.36	969.681	0.633545	1811.3	956.977	0.56901	4.94366e-05	2375.5	242.693	27.1962	15.6905	0.816789	27.0003	14.5933	0.841354	52.5506	15.2055	0.957223	5	13
2212.14	605.002	0.0895013	2181.62	607.937	0.173674	2197.87	606.375	0.103393	1.97399e-05	1319	166.569	18.058	13.5061	0.663778	19.4508	11.4142	0.809713	35.8466	12.5714	0.936488	5	14
2550.19	569.841	0.0546167	2528.23	570.28	6.20361	2540.12	570.043	0.0159091	4.29266e-05	758	159.882	13.6371	11.5204	0.535115	12.9543	9.73871	0.659422	25.6025	10.7176	0.908164	5	15
1255.88	341.568	5.80404	1229.51	328.314	5.84541	1243.38	335.285	5.81917	2.36397e-05	783	271.078	16.8174	11.4311	0.733473	19.0065	11.9472	0.77774	34.4777	11.6493	0.94119	5	16
1394.58	363.961	1.53721	1394.56	398.905	1.46675	1394.57	381.28	1.55329	0.000429815	1147.5	230.953	19.3893	10.8088	0.830202	23.1473	10.1577	0.89857	40.9036	10.5575	0.966117	5	17
2336.39	2099.18	5.85159	2315.34	2088.07	5.73404	2326.13	2093.76	5.79704	7.86939e-05	919	204.794	15.1445	12.5866	0.556123	14.5687	11.7556	0.590675	28.0477	12.1677	0.901	6	0
2331.05	1798.86	3.86748	2357.05	1781.89	3.63374	2344.05	1790.37	3.71528	3.21905e-05	1322.5	172.409	17.2102	13.3221	0.633085	21.2637	11.3035	0.847002	36.5393	12.4307	0.940353	6	1
1752.12	1811.02	2.31276	1775.02	1839.51	2.19269	1763.8	1825.55	2.24613	0.000350632	1331.5	184.693	20.1324	11.1553	0.832451	22.8027	10.3622	0.890783	42.3975	10.7838	0.967112	6	2
2002.48	1783.46	2.331	2027.18	1805.32	2.49689	2014.85	1794.42	2.42285	0.000222747	1307	175.622	18.4808	12.263	0.748131	22.5918	10.5732	0.883723	38.881	11.5023	0.95524	6	3
1970.07	1345.91	0.256695	1933.69	1353.69	0.152987	1952.63	1349.64	0.207261	1.57349e-05	1729	216.853	22.86	14.2465	0.782058	25.6531	12.6687	0.869549	44.3548	13.5302	0.952338	6	5
1813.16	1446.55	1.8522	1818.5	1476.27	1.80463	1815.77	1461.06	1.76153	0.000116287	1204.5	169.296	16.5321	13.1159	0.608757	21.1564	10.4327	0.869958	35.6029	11.8895	0.942592	6	7
2549.72	1086.82	4.87267	2544.26	1050.2	4.77031	2547.11	1069.28	4.8515	0.000195069	1613.5	197.296	21.8579	13.3657	0.791258	23.1487	11.8821	0.858212	43.2645	12.7056	0.955906	6	8
548.158	1089.99	4.3138	561.423	1057.21	4.52494	553.905	1075.79	4.35847	0.00183049	666.5	247.522	19.9466	8.47221	0.905313	26.2371	6.75507	0.966288	41.7492	8.29795	0.980049	6	9
2318.64	1129.51	2.29078	2337.28	1146.96	2.40395	2328.1	1138.36	2.38791	8.36547e-05	1027.5	143.095	14.2314	12.4007	0.490642	17.1357	10.9621	0.768605	29.9821	11.6688	0.921156	6	10
490.918	913.665	1.05313	473.329	937.878	0.677947	482.415	925.371	0.923256	0.000154432	425	190.794	16.6224	5.96015	0.933506	17.6878	4.84182	0.961804	34.2907	6.29745	0.982992	6	11
1179.31	817.832	4.07257	1202.73	787.879	3.97796	1190.37	803.698	4.04259	5.30142e-05	1822.5	207.522	22.4472	14.7804	0.752625	24.5632	12.6159	0.858023	44.6128	13.8181	0.950823	6	12
1802.95	963.029	0.469413	1763.58	984.718	0.584887	1784.11	973.413	0.508985	5.19337e-05	2314	238.593	26.1354	15.7176	0.798955	27.4818	13.9826	0.860888	52.268	14.9547	0.958195	6	13
2179.01	608.683	6.25822	2147.81	606.934	6.24851	2164.54	607.873	6.23189	3.73681e-06	1296.5	165.497	19.0054	12.7226	0.742886	18.8069	11.3567	0.797094	36.4485	12.0856	0.943427	6	14
2542.12	568.36	0.0191185	2519.67	569.832	6.27887	2531.63	569.049	0.0582325	1.22254e-06	821	129.255	13.0948	11.7805	0.43664	14.1292	9.88625	0.714434	26.2198	10.9165	0.909207	6	15
1223.78	327.332	5.81774	1194.89	316.56	6.09455	1210.38	322.332	5.93185	5.65594e-05	783.5	273.865	17.2545	11.388	0.751263	18.1082	10.5263	0.813689	35.4057	11.1421	0.949192	6	16
1392.63	396.273	1.51346	1392.14	430.414	1.5098	1392.38	413.291	1.54602	5.90131e-05	1144	201.539	19.1316	10.8873	0.822287	22.8603	9.20619	0.915326	40.104	10.08	0.967897	6	17
2304.52	2078.85	2.52857	2325.14	2091.27	2.58422	2315.31	2085.35	2.59559	3.83725e-05	925.5	223.522	14.23	11.718	0.56736	15.9158	13.1332	0.56489	28.3987	12.4561	0.898675	7	0
2330.92	1797.12	4.05539	2353.05	1775.72	3.78952	2341.93	1786.48	3.90297	4.65685e-05	1285	170.995	17.0871	13.1173	0.640843	20.6155	11.1237	0.841933	36.1035	12.2679	0.940498	7	1
1770.49	1835.65	2.27206	1794.1	1861.71	2.26446	1781.87	1848.21	2.2985	2.32983e-05	1299.5	184.208	19.2901	12.1169	0.778099	23.6222	9.63343	0.913066	41.1881	10.9786	0.963821	7	2
